Name of the raag,Aaroh - Avroh,Pakad,Vadi-Samvadi,Time,Swara - Set,Gamak,Rasa(emotional essence or mood))
Abhogi Kanada,"S R g m D S' - S' D m g R g m R S ; R ,D ,D S","S R ,D S ; R g m ; g m R S",Madhyam - Shadj,9PM to 12AM,S-R-g-m-D-S,S G~ M D~ N~ D M G~ R S,Karuna
Adana,S R m P d n S' - S' d n P ; m P g m R S,m P d n S'; S' d n S' ; S' d n P ; m P ; g m R S,Shadj - Pancham,9PM to 12AM,S-R-g-m-P-d-n-S,S R~ M P D~ N~ D P M G~ R S,Veera
Aheer Bhairav,S r G m P D n S' - S' n D P m G r S or S' n D P m G m r S,"G m P ; D n D ; P D P ; S' n D ; n D P m G m ; G m P m r r S ; ,n ,D ,n r r S",Madhyam - Shadj,6AM to 9AM,S-r-G-m-P-D-n-S,S r~ G M P D~ N S | S N D~ P M G r~  S,Shanta
Alhaiya Bilawal,S R G P D N S' - S' N D P D n D P m G R S,G R G P ; D n D P ; m G R ; G P D N S',Dhaivat - Gandhar,6AM to 9AM,S-R-G-m-P-D-nN-S,S R G~ P D~ N S | S N D P~ M G R S,hasya
Bageshree,"S R g m D n S' - S' n D m P D m g R S; ,n S",",n S m ; S g m ; g R S ; ,n ,D ; m D n D ; m g R S",Madhyam - Shadj,9PM to 12AM,S-R-g-m-P-D-n-S,S G~ M D~ N D M G R S,Shringar
Bahar,"S R S m P m g m D N S' - S' n P m g m R S ,N S",S m ; P m g m ; n P m ; m n D N S' ; n P m ; P m ; g m R S,Madhyam - Shadj,9PM to 12AM,S-R-g-m-P-D-nN-S,S G M~ D~ N S | N D~ P M G~ R S,Adbhuta
Bairagi,S r m P n S' - S' n P m r S,"m P n P m r ; r P m r S ; ,n S r S ;",Madhyam - Shadj,6AM to 9AM,S-r-m-P-n-S,S r~ M P~ N S | S N~ D P M r S,Shanta
Bairagi Todi,S r g P n S' - S' n P g r S,",n S r g ; g r ,n ,P ; ,n r S ;",Pancham - Shadj,6AM to 9AM,S-r-g-P-n-S,S r G~ M D~ N S | S N D M G r S,Karuna
Basant,S G M d N S' - S' N d P M G M N d M G r S,M d r' S' ; N S' r' N d P ; G M d N M G ; M d G M G ; M G M G r S ;,Tar Shadj - Pancham,9PM to 12AM,S-r-G-M-P-d-N-S,S G M~ P N~ S | S N~ D P~ M G R S,Adbhuta
Basant Mukhari,"S r G m P d n S'; - S' n d P m G r S ,n S","S r G ; G m ; P m ; P d n d P m ; P m G m ; G r ; r S ; ,n ,d ,n S r ; r G m ; G r S ; G m r S;",Pancham - Shadj,9AM to 12PM,S-r-G-m-P-d-n-S,S r~ G M P~ D N S | S N D P~ M G r S,Karuna
Bhairav,S r G m P d N S'; - S' N d P m G r S,"r r S ; d d P ; G m d d P ; G m r r S ; ,N S;",Dhaivat - Rishabh,6AM to 9AM,S-r-G-m-P-d-N-S,S r~ G M~ P D N~ S | S N D P~ M G r S,Shanta
Bhairavi,S r g m P d n S'; - S' n d P m g r S,g S r S ; g m P ; d m d n S' ; r' S' d P g m r S;,Madhyam - Shadj,6AM to 9AM,S-r-g-m-P-d-n-S,S r~ g~ m~ P d~ n~ S | S n d~ P m g r S,Karuna
Bhatiyar,S r S ; S m ; m D P ; S D ; D N P m ; P G ; M D S' - S' r' N D P ; D N P m ; P G r S,S m P ; P G r S ; S D N D ; N P ; D m ; P G ; P G r S ; M D S' ;,Shuddha Madhyam - Shadj,3AM to 6AM,S-r-G-mM-P-D-N-S,S r~ M P~ N S | S N D~ P M~ R S,Adbhuta
Bheem,",n S G m P n S' - S' n D P m G P m ; G m R S ; ,n S ,P ,n S",",n S G m P (S')n ; P (S')n S' ; S' (P)D P ; D m P ; G m R ,n S ;",Shadj - Pancham,12PM to 3PM,S-R-gG-m-P-D-n-S,S R G~ M P~ D N S | S N D P~ M G R S,Veera
Bheempalasi,",n S g m P n S' - S' n D P m g R S ,n S ,P ,n S",",n S g m P ; n D P ; S' ; n D P ; m g R S;",Madhyam - Shadj,12PM to 3PM,S-R-g-m-P-D-n-S,S G~ M D~ N S | S N D~ M G~ R S,Shringar
Bhoopali,"S R G P D S' - SÕ D P G R S R ,D S",G R G; P G; D P; S' D P G; P G R G; G R S;,Gandhar - Dhaivat,6PM to 9PM,S-R-G-P-D-S,S R~ G P D~ S | S D~ P G R~ S,Shanta
