Name of the raag,Aaroh - Avroh ,Pakad
Jogkauns,S G m d N S'; - S' N d P m ; P d n d P m ; G m (S)g S,G m ; G m P m ; G m d N S' ; S' N d ; P d n d m P m ; G m (S)g S 
Kafi,S R g m P D n S'; - S' n D P m g R S,g R ; m P ; m P D P ; D n S' ; n D P
Kalawati,"S G P D n S'; - S' n D P G P G S ; ,n ,D S",S G P D ; P D n D ; D P ; G P D S n ; D n S ; n P ; D G ; P G S ; n D S
Kamod,S R P ; G m R S ; m R P ; D N S'; - S' N D P ; M P D P ; G m P ; G m R S,S (m)R R P ; G m P G m R S ; S' R' S' ; D D P ; m R P ; D M P ; G m R S
Kaushik Dhwani,S G m D N S'; - S' N D m G S,G m D N D S' ; N S' D ; G m ; D m G S
Kausi Kanada,",n S g m d n S'; - S' n d P m g R g m R S","g m d P ; m g R ; g m S ; g m P m g R ; g S ,d ,n R S"
Kedar,S M P D N S'; - S' N D P ; M P D P ; m m R S,S m ; m P; M P D P m ; S R S ; M P D P M ; P S'; S' R' S' S' D D P
Khamaj,"S G m P D N S'; - S' n D P m G R G S ,N S G m P",G m P D; G m G; P S' N S'; n D p; m P m G; R S
Khambavati,"S R m P D S'; - S' n D P D ; m P ; G m S ; R ,n ,D S","P d S' ; S' N S' R' g' R' S' N d P ; d P m P ; P m g R ; g m ; g R S ,N ,d ,N R S"
Kirwani,S R g m P d N S'; - S' N d P m g R S,"P d S' ; S' N S' R' g' R' S' N d P ; d P m P ; P m g R ; g m ; g R S ,N ,d ,N R S"
Komal Rishabh Asawari,"S r m P d S'; - S' r' n d m P d m g r g r ,n ,d r S",m P d S' ; r' n d m g r ; g r S
Lalit,",N r G M d N S'; - S' N d; M d M m; G M G r S",",N r G m M m G r S ; G M d N d M m; r' N d M m; G m M m; G; M G r S"
Lanka Dahan Sarang,"S R m P N S'; - S' n D P ; m P D P ; g R g R S ,N S","m P S' ; n P ; m P ; R g R S ; ,n ,P ,m ,P ,N S"
Madhukauns,S g M P n S' - S' n P M g S,S g M ; P M g M P ; M P n S' ; S' n P M ; g M g S
Madhumad Sarang,",n S; R m P n S'; - S' n P m R S",",n S R ; m R ; P m R ; n P m R ; P m R S"
Madhuvanti,",N S g M P N S'; - S' N D P M g M g R S ,N S",",N S M g M P; M g S R S"
Malgunji,S R G m D n S'; - S' n D P m G R G m g R S,"G m g R S ; ,n S ; ,D ,n S R G m "
Malhar,",N S; m R P ; g m R S; m R P n D N S'; - S' n D n P; m P g g m R S","S R; R P; g g m R S; ,n D ,N ,N S"
Malkauns,S g m d n S'; - S' n d m g S,",d ,n S g m; g m n d m; d n S'; g’ S’ n d"
Mand,S R G m P D N P D S'; - S' N D P m G R G S,G m P D S' N D; D P m; m P G R G S
Maru Bihag,S G M P N S'; - S' N D P M G M G R S,"M G ; M G R S ; S ,N S ; m G P ; M G M G R S"
Marwa,"S ,D ,N r G M D N S'; - S' N D M G r S ; ,N ,D S ,N r S ","S ; ,N ,D S ,N r ; r G M D ; D M G r ; ,N ,D r S"
Megh Malhar,"S (m)R m P ,n S'; - S' n P m R S; R ,n S",",n S R P m R ; m P m R ; m P ; P m n P m R ; R R P m R R S ,n S"
Mohankauns,S G m d n S' - S' n d m g S,"S G m g S ; ,n ,d ; ,n S ; S m G ; m d n d m G ; m G g S"
Multani,",N S g M P N S'; - S' N d P M g r S",",N S ; M g ; M g P ; M g M g r S "
Nand,S G m D P R S ; G m P N S'; - S D N P ; D M P G ; G m D P R S ,S G m D P R S ; G m P D N ; (D)P ; P D (P) m m P ; G m D P R S 
Narayani,S R m P D S'; - S' n D P m R S,"S R ,n ,D ,P ; ,m ,P ,D S ; m R ; m R S ; S R P ; m P n D D P ; D P m R S"
Nayaki Kanada,S R (m)g m P n P S'; - S' n P n P m P (m)g g m R S,"R ,n S R P (m)g ; g m P m R S R S ; g m n P ; n m P (m)g m P m R S R R S; m P n P S'; P n P; g m R S"
Nut Bhairav,S R G m P d N S'; - S' N d P m G R S,"R G m d P ; m G R ; G m R S ,N ,d S"
Parameshwari,S r g m D n S'; - S' n D m g r S,"S r g m D m ; g m D m g r ; g r ,n ,d ; ,d ,n r S"
Patdeep,",N S g m P N S'; - S' N D P m g R S ,N S","g m P N S' D P ; mg mP N N N S' ; D P m g m P ; P g m ; g R S ,N ,N S"
